S no.,name,repo url,default branch,codacy integration,custom properties
1,admin-groupdeposits-api,https://github.com/octanner/admin-groupdeposits-api,master,yes,SOC
2,admin-groupdespoits-ui,https://github.com/octanner/admin-groupdespoits-ui,master,no,SOC
3,admin-livestats-api,https://github.com/octanner/admin-livestats-api,master,no,SOC
4,admin-livestats-ui,https://github.com/octanner/admin-livestats-ui,master,no,SOC
5,admin-recognition-cap-ui,https://github.com/octanner/admin-recognition-cap-ui,master,yes,SOC
6,admin-recognitioncap-api,https://github.com/octanner/admin-recognitioncap-api,master,yes,SOC
7,admin-role-api,https://github.com/octanner/admin-role-api,main,no,SOC
8,admin-tools-auth-api,https://github.com/octanner/admin-tools-auth-api,master,yes,SOC
9,admin-tools-data-export-api,https://github.com/octanner/admin-tools-data-export-api,master,yes,SOC
10,admin-tools-ui,https://github.com/octanner/admin-tools-ui,master,yes,SOC
11,admin-tools-user-activity-api,https://github.com/octanner/admin-tools-user-activity-api,master,yes,SOC
12,admin-tools-yearbook-api,https://github.com/octanner/admin-tools-yearbook-api,master,yes,SOC
13,admin-tools-yearbook-ui,https://github.com/octanner/admin-tools-yearbook-ui,master,yes,SOC
14,adminhome-dataexport-api,https://github.com/octanner/adminhome-dataexport-api,master,no,SOC
15,adminhome-groupdeposits-ui,https://github.com/octanner/adminhome-groupdeposits-ui,master,no,SOC
16,adminhome-integrations-api,https://github.com/octanner/adminhome-integrations-api,master,yes,SOC
17,adminhome-integrations-ui,https://github.com/octanner/adminhome-integrations-ui,master,yes,SOC
18,admt-employee-activity-ui,https://github.com/octanner/admt-employee-activity-ui,master,yes,SOC
19,advrpt-be,https://github.com/octanner/advrpt-be,dev,no,SOC
20,akkeris-credential-injector,https://github.com/octanner/akkeris-credential-injector,master,no,SOC
21,align-android,https://github.com/octanner/align-android,master,no,SOC
22,align-ios,https://github.com/octanner/align-ios,master,no,SOC
23,align-topics,https://github.com/octanner/align-topics,main,yes,SOC
24,align-web,https://github.com/octanner/align-web,main,yes,SOC
25,amp,https://github.com/octanner/amp,main,no,SOC
26,amp-service-client,https://github.com/octanner/amp-service-client,master,no,SOC
27,amp_services_milestones,https://github.com/octanner/amp_services_milestones,main,no,SOC
