S no.,name,repo url,default branch,codacy integration,custom properties
1,admin-groupdeposits-api,https://github.com/octanner/admin-groupdeposits-api,master,yes,SOC
2,admin-groupdespoits-ui,https://github.com/octanner/admin-groupdespoits-ui,master,no,SOC
3,admin-livestats-api,https://github.com/octanner/admin-livestats-api,master,no,SOC
4,admin-livestats-ui,https://github.com/octanner/admin-livestats-ui,master,no,SOC
5,admin-recognition-cap-ui,https://github.com/octanner/admin-recognition-cap-ui,master,yes,SOC
6,admin-recognitioncap-api,https://github.com/octanner/admin-recognitioncap-api,master,yes,SOC
7,admin-tools-auth-api,https://github.com/octanner/admin-tools-auth-api,master,yes,SOC
8,admin-tools-data-export-api,https://github.com/octanner/admin-tools-data-export-api,master,yes,SOC
9,admin-tools-ui,https://github.com/octanner/admin-tools-ui,master,yes,SOC
10,admin-tools-user-activity-api,https://github.com/octanner/admin-tools-user-activity-api,master,yes,SOC
11,admin-tools-yearbook-api,https://github.com/octanner/admin-tools-yearbook-api,master,yes,SOC
12,admin-tools-yearbook-ui,https://github.com/octanner/admin-tools-yearbook-ui,master,yes,SOC
13,adminhome-dataexport-api,https://github.com/octanner/adminhome-dataexport-api,master,no,SOC
14,adminhome-groupdeposits-ui,https://github.com/octanner/adminhome-groupdeposits-ui,master,no,SOC
15,adminhome-integrations-api,https://github.com/octanner/adminhome-integrations-api,master,yes,SOC
16,adminhome-integrations-ui,https://github.com/octanner/adminhome-integrations-ui,master,yes,SOC
17,admt-employee-activity-ui,https://github.com/octanner/admt-employee-activity-ui,master,yes,SOC
18,advrpt-be,https://github.com/octanner/advrpt-be,dev,no,SOC
19,aikuchi,https://github.com/octanner/aikuchi,master,no,SOC
20,akkeris-credential-injector,https://github.com/octanner/akkeris-credential-injector,master,no,SOC
21,align-android,https://github.com/octanner/align-android,master,no,SOC
22,align-bot,https://github.com/octanner/align-bot,master,no,SOC
23,align-conversations,https://github.com/octanner/align-conversations,master,yes,SOC
24,align-firebase-rules,https://github.com/octanner/align-firebase-rules,master,no,SOC
25,align-font,https://github.com/octanner/align-font,master,no,SOC
26,align-ios,https://github.com/octanner/align-ios,master,no,SOC
27,align-is-moving,https://github.com/octanner/align-is-moving,master,no,SOC
